#{"t_start": 1770401127.280684, "env_id": "None"}
r,l,t
-0.046298,9,0.664582
-0.232491,22,0.783605
-0.246497,21,0.896604
0.177375,14,0.997755
-0.015829,22,1.123401
-0.061007,27,1.251894
0.041165,9,1.329932
-0.194078,16,1.432067
-0.03859,4,1.502838
-0.121233,10,1.589255
-0.11481,16,1.688584
-0.569377,24,1.807454
-0.295855,14,1.901247
0.00607,3,1.966467
-0.052332,4,2.034655
0.0489,3,2.09906
-0.306361,18,2.207567
-0.108252,7,2.284086
-0.0101,3,2.349253
0.230588,13,2.439876
-0.030493,5,2.508928
-0.064275,7,2.582728
-0.102162,10,2.665755
-0.02362,6,2.738743
-0.179825,14,2.834846
0.090228,10,2.918773
0.102516,18,3.021938
-0.242106,11,3.107197
0.12491,25,3.225637
-0.04263,30,3.361088
-0.013441,13,3.449498
-0.120696,10,3.533854
-0.100585,6,3.607289
-0.100941,5,3.675973
0.186053,11,3.756274
0.113826,7,3.83066
0.128287,20,3.940305
-0.35403,18,4.042421
-0.00312,20,4.151595
-0.40386,26,4.27825
0.01049,17,4.376131
0.044428,10,4.458027
-0.316125,23,4.577846
0.029535,3,4.641774
-0.07764,15,4.740489
-0.018777,8,4.820788
0.06655,14,4.914221
-0.107135,13,5.007045
0.347461,22,5.129045
-0.155906,8,5.206397
-0.140887,23,5.320136
-0.27,16,5.42129
-0.004641,7,5.496555
0.019869,13,5.589919
0.062959,11,5.673241
-0.086327,6,5.744757
-0.217924,13,5.83227
-0.212701,16,5.932851
-0.087742,6,6.006424
-0.005367,5,7.409344
